status,method,filepath,class_name
survived,"def test_positional_param_removed():
    old_code = ""def func(a, b, c): pass""
    new_code = ""def func(a, b): pass""

    old_tree = ast.parse(old_code)
    new_tree = ast.parse(new_code)
    errors = check_signature_compatibility(old_tree.body[0], new_tree.body[0])

    assert len(errors) == 1
    assert errors[0].message == ""Positional param 'c' was removed.""
    assert errors[0].param_name == ""c""
",tests/dev/test_check_function_signatures.py,
survived,"def get_tooltip_data(df):
    """"""Return the tooltip data in a format suitable for JSON serialization.""""""
    return df.to_dict()
",triton_viz/visualizer/tooltip.py,
survived,"def serialize_for_json(obj):
    if isinstance(obj, np.ndarray):
        return obj.tolist()
    elif isinstance(obj, np.integer):
        return int(obj)
    elif isinstance(obj, np.floating):
        return float(obj)
    elif isinstance(obj, torch.Tensor):
        return obj.cpu().numpy().tolist()
    raise TypeError(f""Object of type {obj.__class__.__name__} is not JSON serializable"")",triton_viz/visualizer/draw.py,
survived,"def stop_server(flask_thread):
    # Implement a way to stop the Flask server
    pass",triton_viz/visualizer/interface.py,
deleted,"def precompute_c_values(op_data):
    input_data = op_data[""input_data""]
    other_data = op_data[""other_data""]
    rows, inner_dim = input_data.shape
    cols = other_data.shape[1]

    precomputed = {}
    for i in range(rows):
        for j in range(cols):
            precomputed[(i, j)] = [0] * (inner_dim + 1)
            for k in range(1, inner_dim + 1):
                precomputed[(i, j)][k] = torch.dot(
                    input_data[i, :k], other_data[:k, j]
                ).item()

    return precomputed
",triton_viz/visualizer/interface.py,
survived,"def pandas_static_corrmatrix(a):
    """"""Compute correlation matrix using pandas.""""""
    df = pandas_matrix_setup(a)
    return lambda: df.corr()
",numbagg/test/conftest.py,
survived,"def move_nancovmatrix(a, window, min_count, out):
    """"""
    Moving window covariance matrix gufunc.

    For 2D input, computes covariance between variables (rows) across observations (columns in the window).
    """"""
    n_vars = a.shape[0]
    n_obs = a.shape[1]
    min_count = max(min_count, 1)

    # Initialize running statistics
    sums = np.zeros(n_vars, dtype=a.dtype)
    counts = np.zeros(n_vars, dtype=np.int64)

    # Initialize pairwise statistics
    prods = np.zeros((n_vars, n_vars), dtype=a.dtype)
    pair_counts = np.zeros((n_vars, n_vars), dtype=np.int64)

    for t in range(n_obs):
        # Remove old values when window slides
        if t >= window:
            for i in range(n_vars):
                old_val = a[i, t - window]
                if not np.isnan(old_val):
                    sums[i] -= old_val
                    counts[i] -= 1

                    # Update pairwise products
                    for j in range(n_vars):
                        old_val_j = a[j, t - window]
                        if not np.isnan(old_val_j):
                            prods[i, j] -= old_val * old_val_j
                            pair_counts[i, j] -= 1

        # Add new values
        for i in range(n_vars):
            new_val = a[i, t]
            if not np.isnan(new_val):
                sums[i] += new_val
                counts[i] += 1

                # Update pairwise products
                for j in range(n_vars):
                    new_val_j = a[j, t]
                    if not np.isnan(new_val_j):
                        prods[i, j] += new_val * new_val_j
                        pair_counts[i, j] += 1

        # Compute covariance matrix for current window
        for i in range(n_vars):
            for j in range(n_vars):
                n = pair_counts[i, j]
                if n >= min_count:
                    if n > 1:
                        # Unbiased covariance with ddof=1
                        cov = (prods[i, j] - sums[i] * sums[j] / n) / (n - 1)
                        out[t, i, j] = cov
                    else:
                        # n == 1, covariance is undefined (requires at least 2 points)
                        out[t, i, j] = np.nan
                else:
                    out[t, i, j] = np.nan",numbagg/moving_matrix.py,
survived,"    def test_with_nans(self, func):
        """"""Test with NaN values.""""""
        data = np.array(
            [[1, 2, np.nan, 4], [2, 4, 6, np.nan], [np.nan, 1, 2, 3]], dtype=np.float64
        )
        result = func(data)

        # Check shape and symmetry
        assert result.shape == (3, 3)
        assert_allclose(result, result.T, equal_nan=True)

        # For correlation, check diagonal is 1 where not NaN
        if func == nancorrmatrix:
            assert_allclose(np.diag(result), [1.0, 1.0, 1.0])
",numbagg/test/test_matrix_functions.py,TestMatrixFunctions
survived,"    def test_single_variable(self, func):
        """"""Test with single variable (1x1 matrix).""""""
        data = np.array([[1, 2, 3, 4]], dtype=np.float64)
        alpha = 0.4
        result = func(data, alpha=alpha)

        # Check shape
        assert result.shape == (4, 1, 1)

        # Diagonal should be 1 for correlation (once we have enough data), positive for covariance
        if func == move_exp_nancorrmatrix:
            # First time step might be NaN, but later ones should be 1.0
            assert (
                np.isnan(result[0, 0, 0]) or result[0, 0, 0] == 1.0
            )  # First might be NaN
            assert_allclose(
                result[1:, 0, 0], [1.0, 1.0, 1.0], rtol=1e-10
            )  # Later should be 1
        else:
            # For covariance, check finite values are non-negative
            finite_mask = np.isfinite(result[:, 0, 0])
            assert np.all(result[finite_mask, 0, 0] >= 0)
",numbagg/test/test_move_exp_matrix.py,TestMoveExpMatrixFunctions
survived,"    def test_covariance_with_nans(self):
        """"""Test consistency with NaN values.""""""
        np.random.seed(456)

        # Create two time series with some NaN values
        n_obs = 30
        a1 = np.random.randn(n_obs)
        a2 = np.random.randn(n_obs) * 2

        # Add some NaN values
        a1[5:8] = np.nan
        a2[15:17] = np.nan

        alpha = 0.3

        # Compute using non-matrix function
        cov_nonmatrix = move_exp_nancov(a1, a2, alpha=alpha)

        # Compute using matrix function
        data_matrix = np.array([a1, a2])
        cov_matrix_result = move_exp_nancovmatrix(data_matrix, alpha=alpha)
        cov_from_matrix = cov_matrix_result[:, 0, 1]

        # They should match
        assert_allclose(cov_nonmatrix, cov_from_matrix, rtol=1e-10)
",numbagg/test/test_move_exp_matrix_consistency.py,TestMoveExpMatrixConsistency
survived,"    def test_single_valid_observation(self):
        """"""Test with only one valid observation per variable.""""""
        data = np.array(
            [[1.0, np.nan, np.nan, np.nan], [np.nan, 2.0, np.nan, np.nan]],
            dtype=np.float64,
        )

        result_corr = move_exp_nancorrmatrix(data, alpha=0.5)
        result_cov = move_exp_nancovmatrix(data, alpha=0.5)

        # Should have shape (4, 2, 2)
        assert result_corr.shape == (4, 2, 2)
        assert result_cov.shape == (4, 2, 2)

        # Most values should be NaN since we need at least 2 observations for correlation/covariance
        assert np.sum(np.isnan(result_corr)) > np.sum(np.isfinite(result_corr))
        assert np.sum(np.isnan(result_cov)) > np.sum(np.isfinite(result_cov))",numbagg/test/test_move_exp_matrix.py,TestMoveExpMatrixFunctions
