repo_name,pr_url,filepath,class_name,method_name,is_truly_added,survival_status,code_loc,char_length,tokens,docstring_words,method_name_words,is_getter,is_setter,is_IsHas,is_test,is_in_test_code,is_private,is_dunder_method,has_return,number_of_variable,number_of_print,cyclomatic_complexity,halstead_volume,max_nesting_depth,param_count,call_expression_count,comment_ratio,uses_try_except,uses_constants,avg_var_name_length,status
mlflow,https://github.com/mlflow/mlflow/pull/16658,tests/dev/test_check_function_signatures.py,,test_positional_param_removed,1,noref_survived,9,402,70,0,4,0,0,0,1,1,0,0,0,5,0,4,25.26619429851844,0,0,4,0.0,0,0,7.6,survived
triton-viz,https://github.com/Deep-Learning-Profiling-Tools/triton-viz/pull/86,triton_viz/visualizer/tooltip.py,,get_tooltip_data,1,noref_survived,2,129,13,11,3,1,0,0,0,0,0,0,1,0,0,1,0.0,0,1,1,0.0,0,0,2.0,survived
triton-viz,https://github.com/Deep-Learning-Profiling-Tools/triton-viz/pull/86,triton_viz/visualizer/draw.py,,serialize_for_json,1,noref_survived,10,390,81,0,3,0,0,0,0,0,0,0,1,0,0,5,0.0,4,1,11,0.0,0,0,3.0,survived
triton-viz,https://github.com/Deep-Learning-Profiling-Tools/triton-viz/pull/86,triton_viz/visualizer/interface.py,,stop_server,1,noref_survived,2,86,7,0,2,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,0,0.3333333333333333,0,0,12.0,survived
triton-viz,https://github.com/Deep-Learning-Profiling-Tools/triton-viz/pull/86,triton_viz/visualizer/interface.py,,precompute_c_values,1,ref_deleted_method,14,520,121,0,3,0,0,0,0,0,0,0,1,7,0,4,23.264662506490403,3,1,5,0.0,0,0,7.857142857142857,deleted
numbagg,https://github.com/numbagg/numbagg/pull/388,numbagg/test/conftest.py,,pandas_static_corrmatrix,1,noref_survived,3,145,21,5,3,0,0,0,0,1,0,0,1,1,0,1,0.0,0,1,2,0.0,0,0,1.5,survived
numbagg,https://github.com/numbagg/numbagg/pull/388,numbagg/moving_matrix.py,,move_nancovmatrix,1,noref_survived,41,2282,378,19,2,0,0,0,0,0,0,0,0,16,0,15,354.2428288627686,6,4,17,0.1451612903225806,0,0,5.941176470588236,survived
numbagg,https://github.com/numbagg/numbagg/pull/388,numbagg/test/test_matrix_functions.py,TestMatrixFunctions,test_with_nans,1,noref_survived,9,513,109,4,3,0,0,0,1,1,0,0,0,2,0,3,13.931568569324174,1,2,6,0.1428571428571428,0,0,4.5,survived
numbagg,https://github.com/numbagg/numbagg/pull/390,numbagg/test/test_move_exp_matrix.py,TestMoveExpMatrixFunctions,test_single_variable,1,noref_survived,15,940,147,6,3,0,0,0,1,1,0,0,0,4,0,5,55.506595772116384,1,2,7,0.1818181818181818,0,0,5.666666666666667,survived
numbagg,https://github.com/numbagg/numbagg/pull/390,numbagg/test/test_move_exp_matrix_consistency.py,TestMoveExpMatrixConsistency,test_covariance_with_nans,1,noref_survived,13,785,117,5,4,0,0,0,1,1,0,0,0,10,0,1,4.754887502163469,0,1,7,0.2,0,0,8.222222222222221,survived
numbagg,https://github.com/numbagg/numbagg/pull/390,numbagg/test/test_move_exp_matrix.py,TestMoveExpMatrixFunctions,test_single_valid_observation,1,noref_survived,11,763,146,8,4,0,0,0,1,1,0,0,0,3,0,5,38.03910001730775,0,1,11,0.1176470588235294,0,0,7.25,survived
haconiwa,https://github.com/dai-motoki/haconiwa/pull/5,src/haconiwa/scan/comparator.py,ModelComparator,_load_model_info,1,noref_survived,25,1245,166,6,3,0,0,0,0,0,1,0,1,5,0,6,38.05374780501028,5,2,7,0.0588235294117647,1,0,9.0,survived
haconiwa,https://github.com/dai-motoki/haconiwa/pull/5,tests/test_scan/test_generate_parallel.py,TestParallelYAMLGenerator,test_generate_for_pattern_fix,1,noref_survived,21,961,105,5,5,0,0,0,1,1,0,0,0,4,0,9,82.0447025077789,1,1,2,0.037037037037037,0,0,7.4,survived
haconiwa,https://github.com/dai-motoki/haconiwa/pull/5,tests/test_scan/test_cli.py,TestScanCLI,test_scan_generate_parallel_config_migration,1,noref_survived,12,628,65,5,6,0,0,0,1,1,0,0,0,2,0,3,28.529325012980813,1,2,4,0.0,0,0,6.75,survived
haconiwa,https://github.com/dai-motoki/haconiwa/pull/5,src/haconiwa/scan/generate_parallel.py,ParallelYAMLGenerator,_extract_files_from_matches,1,noref_survived,9,487,74,7,4,0,0,0,0,0,1,0,1,1,0,5,15.509775004326936,4,3,3,0.0,0,0,6.25,survived
