repo_name,pr_url,filepath,class_name,method_name,is_truly_added,survival_status,code_loc,char_length,tokens,docstring_words,method_name_words,is_getter,is_setter,is_IsHas,is_test,is_in_test_code,is_private,is_dunder_method,has_return,number_of_variable,number_of_print,cyclomatic_complexity,halstead_volume,max_nesting_depth,param_count,call_expression_count,comment_ratio,uses_try_except,uses_constants,avg_var_name_length,status
mlflow,https://github.com/mlflow/mlflow/pull/16658,tests/dev/test_check_function_signatures.py,,test_keyword_only_param_removed,1,noref_survived,9,406,70,0,5,0,0,0,1,1,0,0,0,5,0,4,25.26619429851844,0,0,4,0.0,0,0,7.6,survived
mlflow,https://github.com/mlflow/mlflow/pull/16658,tests/dev/test_check_function_signatures.py,,test_optional_keyword_only_became_required,1,noref_survived,9,420,70,0,6,0,0,0,1,1,0,0,0,5,0,4,25.26619429851844,0,0,4,0.0,0,0,7.6,survived
mlflow,https://github.com/mlflow/mlflow/pull/16658,dev/check_function_signatures.py,,get_changed_python_files,1,noref_survived,10,564,85,0,4,1,0,0,0,0,0,0,1,2,0,5,0.0,1,1,6,0.1538461538461538,0,0,7.333333333333333,survived
mlflow,https://github.com/mlflow/mlflow/pull/16658,tests/dev/test_check_function_signatures.py,,test_complex_mixed_violations,1,noref_survived,11,646,96,0,4,0,0,0,1,1,0,0,0,6,0,6,36.0,0,0,7,0.0,0,0,8.666666666666666,survived
numbagg,https://github.com/numbagg/numbagg/pull/388,numbagg/test/test_matrix_functions.py,TestMatrixFunctions,test_broadcasting_higher_dims,1,noref_survived,20,1442,210,10,4,0,0,0,1,1,0,0,0,6,0,9,94.01164534875782,3,2,18,0.2352941176470588,0,0,7.375,survived
numbagg,https://github.com/numbagg/numbagg/pull/390,numbagg/test/test_move_exp_matrix_advanced.py,TestMoveExpMatrixAdvanced,test_different_dtypes,1,noref_survived,7,497,84,6,3,0,0,0,1,1,0,0,0,5,0,1,0.0,0,1,5,0.0833333333333333,0,0,7.5,survived
numbagg,https://github.com/numbagg/numbagg/pull/390,numbagg/test/test_move_exp_matrix_advanced.py,TestMoveExpMatrixAdvanced,test_numerical_stability_near_singular,1,noref_survived,15,1068,137,8,5,0,0,0,1,1,0,0,0,7,0,4,49.82892142331044,0,1,11,0.1923076923076923,0,0,6.0,survived
numbagg,https://github.com/numbagg/numbagg/pull/390,numbagg/test/test_move_exp_matrix_consistency.py,TestMoveExpMatrixConsistency,test_covariance_consistency,1,noref_survived,13,952,122,7,3,0,0,0,1,1,0,0,0,7,0,1,15.509775004326936,0,2,9,0.2307692307692307,0,0,8.222222222222221,survived
numbagg,https://github.com/numbagg/numbagg/pull/390,numbagg/test/test_move_exp_matrix_consistency.py,TestMoveExpMatrixConsistency,test_min_weight_consistency,1,noref_survived,20,1212,158,6,4,0,0,0,1,1,0,0,0,12,0,1,4.754887502163469,0,1,10,0.15625,0,0,10.153846153846152,survived
numbagg,https://github.com/numbagg/numbagg/pull/390,numbagg/test/test_move_exp_matrix.py,TestMoveExpMatrixFunctions,test_different_alphas,1,noref_survived,6,547,105,6,3,0,0,0,1,1,0,0,0,3,0,3,30.880904142633646,0,2,5,0.2307692307692307,0,0,6.6,survived
